vessel_name,year,vessel_type,attack_type,place,region
Mearsk Taasinge,6,4,4,14,1
Name withheld,6,4,4,14,1
Tommi Ritscher,6,4,4,13,1
Vemahope ,6,5,4,6,1
Amerger VII,6,1,4,14,1
Amerger II,6,1,4,14,1
Name withheld,6,2,4,14,1
Name withheld,6,5,4,14,1
Hailufeng 11,6,1,3,14,1
ESL Australia,6,2,4,6,1
Karadeniz ,6,5,4,14,1
Name withheld,6,1,4,13,1
Port Macau ,6,3,4,14,1
Frederike ,6,3,4,14,1
Sendije Berge ,6,13,4,6,1
Name withheld,6,2,4,13,1
Curacao Trader ,6,5,4,6,1
BBC Danube,6,2,4,14,1
Maersk Venturer,6,13,4,14,1
Name withheld,6,1,3,14,1
Name withheld,6,9,4,6,1
Nord Steady ,6,5,4,14,1
Lyme Bay,6,4,4,14,1
Basat,6,5,4,6,1
Amonno T ,6,3,4,14,1
Methane Princes,6,5,4,14,1
PTI Nile ,6,5,4,14,1
Maersk Rubicon ,6,4,4,14,1
Errina ,6,5,4,6,1
Team Hope ,6,3,4,14,1
Nefeli II,6,5,4,6,1
Name withheld,6,5,4,13,1
BSL Cape Town ,6,4,4,14,1
Name withheld,6,13,4,14,1
Am Delta ,6,2,4,6,1
Name withheld,6,13,3,14,1
Name withheld,6,3,4,13,1
Milan,6,2,4,6,1
Resilience ,6,3,4,14,1
Name withheld,6,3,4,14,1
Tango Rey,6,3,4,14,1
New Ranger,6,5,4,6,1
New Ranger,6,5,4,6,1
Pacific Wizard ,6,12,4,14,1
Name withheld,6,2,4,6,1
New Ranger,6,5,4,6,1
Name withheld,6,2,4,6,1
Maersk Cadiz,6,4,4,6,1
Port Gdynia,6,4,4,6,1
Blue Ivy ,6,2,4,14,1
Seamax Darien ,6,2,4,14,6
Global Phenix,6,5,1,4,2
Pacific Sapphire,6,5,1,14,2
A racer ,6,3,1,9,2
Global Tomorrow,6,3,1,14,4
Sapura 3500,6,13,2,14,4
Name withheld,6,4,2,14,4
Maria Topic,6,3,1,14,4
Boracay Island ,6,2,1,14,4
Lagertha ,6,5,2,6,1
Name withheld,6,5,1,6,1
MSC Grace ,6,4,2,6,1
Name withheld,6,5,1,6,1
Name withheld,6,4,2,6,1
Sea Emperor ,6,5,1,14,1
Name withheld,6,5,1,14,1
Bourbon Hours,6,13,1,14,1
Scarabe ,6,3,1,6,1
Pyxis,6,5,1,13,1
Lana,6,4,2,6,1
Rio Charleston ,6,4,1,6,1
Name withheld,6,5,1,14,1
Ocean Intervation III,6,13,1,14,1
Wesley,6,5,1,6,1
Bob Marker ,6,13,1,13,1
La Boheme ,6,5,2,13,1
Jane ,6,5,2,13,1
Name withheld,6,5,2,6,1
Cool Girl ,6,9,2,6,1
Minerva Evropi ,6,5,2,6,1
Diyala,6,5,1,6,1
Athenia (2021),7,5,4,9,2
Withheld,7,3,4,4,2
Ark Royal,7,3,4,9,2
Elvia ,7,3,4,9,2
Vanta wave,7,2,4,9,2
Kota Nebula,7,4,4,14,2
Aki,7,5,4,4,2
Als ,7,4,4,4,2
Danum 50,7,12,4,9,2
Linau,7,5,4,9,2
Queen,7,3,4,9,2
Baltic,7,4,4,4,2
Posh,7,12,4,9,2
Scara,7,13,4,9,2
Trina,7,3,4,9,2
Harris,7,5,4,9,2
Panta,7,3,4,9,2
Henry,7,5,4,5,2
Withheld,7,5,4,9,2
Ioanna,7,3,4,9,2
Bak 5,7,12,4,14,2
Bak 55,7,5,4,14,2
Alea,7,3,4,9,2
Rb Eden,7,3,4,9,2
Cape Lily,7,3,4,9,2
Aramis,7,4,4,14,2
Sima Sahba,7,4,4,14,2
Mount,7,4,4,14,2
Baltic North,7,4,4,4,2
Nordtiger,7,4,4,14,2
J Mare,7,3,4,9,2
Romina,7,4,4,14,2
Star Nike,7,3,4,9,2
Adventurer,7,3,4,9,2
Nussfjord,7,4,4,14,2
Caimep,7,4,4,14,2
Nefeli,7,3,4,9,2
Good Luck I,7,3,4,4,2
Solar Catie,7,5,4,4,2
Delphinus,7,3,4,9,2
Graeca,7,3,4,9,2
Amelia,7,5,4,9,2
Oriental ,7,5,4,5,2
True Champion,7,3,4,9,2
Rosco Olive,7,3,4,9,2
Everrich 7,7,5,4,9,2
Embrace,7,3,4,9,2
Super Star,7,2,4,9,2
Aegean Angel ,7,5,4,9,2
Aegean Angel ,7,5,4,9,2
Romandie,7,3,4,9,2
Fushimi,7,4,4,4,2
Kronborg,7,5,4,9,2
Gladiator,7,3,4,9,2
Doris,7,3,4,9,2
Seacon 8,7,3,4,9,2
Withheld,7,3,4,8,6
Penguin,7,3,4,11,3
Iki,7,2,4,11,3
Sagittarius,7,3,4,14,4
Prague,7,4,4,14,4
Duessel,7,4,4,14,4
Nord Hudson,7,3,4,14,4
Margreta,7,10,4,14,4
Arawa,7,5,4,14,4
Pac Trader,7,4,4,14,4
Pacora,7,4,4,14,4
Nordic ,7,3,4,14,4
Port Osaka,7,3,4,14,4
Baker River,7,3,4,14,4
Christoph Schu,7,5,4,14,4
Seasuccess,7,5,4,14,4
Admiral,7,5,4,14,4
Borneo,7,5,4,14,4
Borneo,7,5,4,14,4
Withheld,7,5,4,14,4
Maestro Dia,7,3,4,14,4
Otago Harb,7,3,4,14,4
Ikebana,7,2,4,14,4
Santos Eagle,7,3,4,14,4
Withheld,7,5,4,14,4
Warnow Bel,7,4,4,14,4
Bochem Lux,7,5,4,14,4
Nordorinoco,7,3,4,14,4
Lord Vishnu,7,10,4,14,4
AS Sabrina,7,4,4,14,4
Jose do Pat,7,5,4,14,4
Nord Steady,7,5,4,14,4
Lesedi Queen,7,3,4,14,4
TN Dawn,7,3,4,14,4
Niledutch,7,4,4,14,1
Greeb Free,7,9,4,14,1
Mozart,7,4,4,14,1
Rowayton,7,3,4,14,1
Sea Phantom,7,5,4,14,1
Lian Peng ,7,1,4,14,1
Maria E,7,5,4,14,1
Withheld,7,13,4,14,1
Withheld,7,13,4,14,1
Flensburg,7,4,4,14,1
Venturer,7,13,4,14,1
Withheld,7,5,4,13,1
Withheld,7,13,4,6,1
Common Faith,7,3,4,14,1
Contship New,7,4,4,14,1
Songa Calabria,7,4,4,14,1
Atl Princess,7,1,4,14,1
Withheld,7,13,4,6,1
Iris S,7,1,4,13,1
Withheld,7,5,4,14,1
Machitis,7,3,4,14,1
Carmen,7,3,4,14,1
Tampen,7,13,4,14,1
Lucia,7,4,4,6,1
NA,7,13,4,6,1
Pacific Dolphin,7,13,4,14,1
Dalarna,7,3,4,14,1
Tampen,7,13,4,14,1
Withheld,7,4,4,14,1
Astro Perseus,7,5,1,9,2
Caelum,7,5,1,4,2
Nuri Bey,7,3,1,9,2
Santa Bar,7,3,1,14,4
Telford 28,7,13,1,14,4
Alaska,7,4,1,14,4
Lars,7,4,2,14,4
Mundra,7,4,2,14,4
Myrto,7,3,1,2,1
Cardiff,7,4,2,6,1
Seaking,7,5,1,14,1
Mad Spirit,7,5,2,14,1
Tianjin,7,3,1,6,1
Taranto,7,4,1,14,1
Bulk Bahamas,7,3,1,14,1
Tropical,7,13,2,14,1
Blue Sea (2022),8,5,4,9,2
Bow Sant,8,5,4,9,2
Hai Duo 29,8,12,4,9,2
Withheld,8,3,4,4,2
PS Stars,8,5,4,5,2
Avalon,8,5,4,4,2
FPMC C Jade,8,5,4,9,2
Theodor,8,3,4,9,2
Navios Bon,8,3,4,9,2
Golden Leaf,8,3,4,9,2
Delta Eurydice,8,5,4,9,2
Bw Cheetah,8,5,4,9,2
Royal Jade,8,3,4,9,2
African Mer,8,3,4,9,2
Flecha,8,3,4,9,2
Penta,8,3,4,9,2
Daisy 2,8,5,4,9,2
Maha Jacq,8,3,4,9,2
Lampard,8,3,4,4,2
Procyon ,8,10,4,14,2
Siloso,8,3,4,4,2
Megali,8,5,4,9,2
Kota Hapas,8,4,4,14,2
Sextans,8,5,4,14,2
CNC Lion,8,4,4,4,2
Selena,8,3,4,4,2
Yong Xing,8,5,4,9,2
Magnum,8,3,4,9,2
Dream Star,8,3,4,9,2
Tomini Unity,8,3,4,9,2
Bering,8,5,4,4,2
Nemrut Bay,8,3,4,9,2
Everest,8,5,4,9,2
Desiree,8,13,4,14,2
African Lark,8,3,4,4,2
Bulk Sao Paulo,8,3,4,9,2
Cape Valencia,8,3,4,9,2
Iwami,8,2,4,9,2
Equinox,8,3,4,9,2
Target 10,8,12,4,9,2
Alam 281,8,5,4,9,2
Modalwan 11,8,12,4,9,2
Lion Kimtrans,8,5,4,9,2
Withheld,8,5,4,5,2
Nord Aqua,8,3,4,4,2
HK Tug 9,8,12,4,9,2
LKH 2882,8,5,4,9,2
Canopus Leader,8,10,4,14,2
Nord Adriatic,8,3,4,9,2
HK Tug 9,8,12,4,9,2
LKH 2882,8,5,4,9,2
Saga Fortune,8,2,4,4,2
Heilan Bright,8,3,4,9,2
Minoan,8,3,4,9,2
Genco Endea,8,3,4,9,2
TC Pacific,8,12,4,9,2
Holmen Pacific,8,5,4,9,2
Wayne,8,12,4,5,2
Rig T20,8,5,4,5,2
KT Birdie,8,3,4,9,2
Captain Anton,8,3,4,9,2
Eastern Mercy,8,3,4,9,2
Songa ,8,5,4,8,6
HK Tug 9,8,12,4,8,6
LKH 7887,8,5,4,8,6
Mid Eagle,8,5,4,11,3
Withheld,8,3,4,11,3
Wawasan Topaz,8,5,4,1,3
Taizhou Pioneer,8,3,4,1,3
B-LPG Sophia,8,5,4,1,3
Withheld,8,5,4,1,3
Kota Rancak,8,4,4,1,3
Blue Marlin ,8,13,4,1,3
Oriental Hibiscus,8,5,4,11,3
AS Elena,8,3,4,1,3
Crystal Confidence,8,3,4,14,4
Withheld,8,3,4,14,4
Vega Rose,8,3,4,14,4
KT Birdie,8,3,4,14,4
Berge Galdhopiggen,8,3,4,14,4
STH Oslo,8,3,4,14,4
Atlantic Elm,8,3,4,14,4
Tampa Trader,8,4,4,14,4
Daido Amb,8,3,4,14,4
Aries Leader,8,10,4,14,4
Algol,8,4,4,14,4
Azzura,8,3,4,14,4
CS Candy,8,3,4,14,4
Everbright,8,5,4,14,4
Jindal Pioneer,8,13,4,14,4
Industrial Emma,8,2,4,14,4
Laax,8,3,4,14,4
Southern Owl,8,5,4,14,4
Jose Do Pat,8,5,4,14,4
Tahoe Spirit,8,5,4,14,4
Clipper Dee,8,3,4,14,4
Viking Drive,8,10,4,14,4
Challenge Procyon,8,5,4,14,4
Largo Evolution,8,5,4,14,1
Surfer 3602,8,13,4,14,1
B. Ocean,8,5,3,14,1
Surfer 3601,8,13,4,14,1
Surfer 3602,8,13,4,14,1
Isabella M,8,3,4,14,1
BW Thor,8,5,4,14,1
AG. Nektarios,8,3,4,14,1
Bourbon Explorer,8,13,4,14,1
Arch Gabriel,8,3,4,14,1
Margret Oldendorff,8,3,4,14,1
Cabinda Express,8,4,4,14,1
V Atlas,8,3,4,14,1
Matadi Express,8,4,4,14,1
Aconcagua Bay,8,9,4,14,1
Armenistis,8,10,3,14,1
Harmonious,8,3,4,14,1
B. Ocean,8,5,4,14,1
Withheld,8,13,4,14,1
Kota Hapas,8,4,1,14,2
Londrina,8,4,1,5,2
KT Birdie,8,3,1,14,4
Warnow Mate,8,4,1,14,1
Columbus,8,4,1,14,1
Maran Poseidon,8,5,2,14,1
 Merchia (2023),9,3,4,9,2
HK Tug 3,9,12,4,9,2
 LKH 9889,9,5,4,9,2
Sinhin 5,9,12,4,9,2
Sinhin 6,9,5,4,9,2
Ceto,9,5,4,4,2
Izumi ,9,3,4,9,2
LBC Green,9,3,4,4,2
HK Tug 9,9,12,4,5,2
LKH 2882,9,5,4,5,2
HK Tug 2,9,12,4,9,2
LKH 3883,9,5,4,9,2
Spica Harmony,9,3,4,9,2
Ocean Creation,9,3,4,9,2
Metis,9,5,4,4,2
Chios Trinity,9,3,4,9,2
Merkur Horizon,9,4,4,14,2
CO Nagoya,9,4,4,14,2
Stolt Sakura,9,5,4,4,2
Volta,9,3,4,9,2
Prabhu Shakti,9,3,4,9,2
Gibraltar Eagle,9,3,4,9,2
Withheld,9,5,4,4,2
Ever Boomy,9,4,4,14,2
Ningbo,9,4,4,14,2
Withheld,9,5,4,4,2
Lion Kimtrans TB 6,9,12,4,9,2
Asia Pride 2330,9,5,4,9,2
Rainbow Star,9,5,4,9,2
Lanpan 30,9,12,4,9,2
Ombak Biru Satu,9,5,4,9,2
Lucky Source,9,3,4,9,2
Corinthian,9,3,4,9,2
Nord Adriatic,9,3,4,9,2
Orange Harmony,9,3,4,9,2
Merkur Horizon,9,4,4,14,2
CL Century,9,3,4,9,2
Sea Vigour,9,5,4,9,2
Bonny Island,9,3,4,9,2
Lila Ace,9,5,4,4,2
Marianna Golden,9,5,4,4,2
Atlantic Prestige,9,3,4,9,2
Efraim A.,9,3,4,9,2
Tomini Royal,9,3,4,9,2
Super Ruby,9,5,4,4,2
Fiji,9,3,4,9,2
Stella Alice,9,3,4,9,2
Withheld,9,13,4,14,2
Edzard Schulte,9,5,4,4,2
Jin Hwa 49,9,12,4,9,2
Jin Hwa 39,9,5,4,9,2
Jal Kamal,9,3,4,9,2
Osaka Star,9,3,4,9,2
Doric Warrior,9,3,4,9,2
Sophocles Graecia,9,3,4,9,2
CNC Pluto,9,4,4,14,2
Shotan,9,5,4,4,2
SLNC Seven,9,3,4,4,2
Yangze 8,9,3,4,9,2
TRF Horten,9,5,4,9,2
PS Falcon,9,5,4,9,2
Fairchem,9,5,4,4,2
Valencia,9,4,4,5,2
Navios Helios,9,3,4,9,2
Etoile,9,3,4,9,2
Matsushiro,9,2,4,4,2
Argent Daisy,9,5,4,4,2
Argent Daisy,9,5,4,4,2
Argent Daisy,9,5,4,4,2
G. Crown,9,4,4,14,2
Hansa Colombo,9,4,4,14,2
Shokai,9,5,4,4,2
Nordocelot,9,4,4,8,6
Levante,9,3,4,8,6
Elisabeth,9,2,4,8,6
PPS Luck,9,3,4,11,3
Solar Roma,9,5,4,11,3
Success,9,5,4,1,3
Belfast,9,5,4,11,3
Ginga Kite,9,5,4,11,3
Withheld,9,2,4,14,4
NYK Rigel ,9,4,4,14,4
Los Angeles Spirit,9,5,4,14,4
Brigitte,9,3,4,14,4
Gillingham,9,3,4,14,4
Sankaty Eagle,9,3,4,14,4
Tomini Entity,9,3,4,14,4
Bari,9,4,4,14,4
Bochem London,9,5,4,14,4
Caipirinha,9,3,4,14,4
Nippon Maru,9,3,4,14,4
Withheld,9,5,4,14,4
Murex,9,5,4,14,4
Mactiga,9,5,4,14,4
Nordmosel,9,3,4,14,4
Ruen,9,3,3,3,1
Seaclippler,9,5,4,14,1
Nord Stingray,9,5,4,14,1
Monjasa Reformer,9,5,3,14,1
Komodo ,9,12,4,14,1
Success 9,9,5,3,14,1
Bourbon Shamal,9,13,4,14,1
Wave F ,9,2,4,6,1
Grebe Bulker,9,3,4,14,1
Nyon,9,3,4,14,1
Roubaix,9,4,4,14,1
Oya 1,9,2,4,14,1
Haci Erdogan,9,1,4,14,1
UAL Osprey,9,2,4,14,1
Vishva Vikas,9,3,4,14,1
Shenghai2,9,1,3,14,1
Logger,9,12,4,14,1
Wave F ,9,2,4,6,1
Nordsun,9,3,4,14,1
Vigo,9,4,4,14,1
Pacific Kohi,9,5,4,14,1
Withheld,9,3,1,9,2
MSM,9,3,1,9,2
Frontier Sky,9,3,1,14,4
CSCL Zeeb,9,4,1,14,4
Callao Express,9,4,1,14,4
Seaspan Ocen,9,4,1,14,4
Vigo,9,4,1,14,1
Hai Lu Feng 13,9,1,2,14,1
Hai Lu Feng 14,9,1,2,14,1
CB Caribic,9,5,1,14,1
Anggun,9,13,1,14,1
Dark Knight (2024),10,12,4,9,2
Crimson Queen ,10,13,4,9,2
Withheld,10,2,4,4,2
CMB Chikako,10,3,4,9,2
Clipper I-Star,10,3,4,9,2
Royal Tb 27,10,12,3,4,2
OB Royal 27,10,5,3,4,2
Nordpuma,10,4,4,14,2
Top Diligence,10,2,4,9,2
Globe Explorer,10,3,4,4,2
African Halcyon,10,2,4,4,2
Boka Vanguard,10,13,4,4,2
Alpha Hope,10,3,4,9,2
Apiradee Naree,10,3,4,9,2
George Island,10,3,4,9,2
Shakespeare Bay,10,3,4,4,2
Solar Roma,10,5,4,4,2
Casanove,10,3,4,9,2
ESL Dachan Bay,10,4,4,14,2
Murou,10,2,4,4,2
GCL Leader,10,3,4,9,2
Marvel 3,10,12,4,5,2
Serudong 8,10,5,4,5,2
Irvine Bay,10,3,4,4,2
Ocean Dream,10,3,4,9,2
Avatar Courage,10,12,4,4,2
G.B. Corrado,10,3,4,9,2
Santa Regina,10,3,4,9,2
Ivestos 9 ,10,3,4,9,2
Dongbang Giant,10,13,4,4,2
Ivestos 8 ,10,3,4,9,2
Orihime,10,13,4,9,2
HK Tug 9,10,12,4,9,2
LKH 2882,10,5,4,9,2
Wadi Feran,10,3,4,9,2
Earth Harmony,10,3,4,4,2
Corinna,10,3,4,9,2
Berge Mauna Loa,10,3,4,9,2
Thisseas,10,3,4,9,2
Spec Nichole,10,13,4,4,2
HK Tug 9,10,12,4,9,2
LKH 3883,10,5,4,9,2
Ultra Colonsay,10,3,4,9,2
Aphrodite L,10,3,4,9,2
Jin Hwa 49,10,12,4,9,2
Jin Hwa 39,10,5,4,9,2
Sea Voyager,10,3,4,9,2
Atlantic Tiger,10,3,4,9,2
Royal Tb 17,10,12,3,4,2
OB Royal 17,10,5,3,4,2
Withheld,10,3,4,9,2
Torex,10,5,4,9,2
Genco Cons,10,3,4,4,2
Withheld,10,5,4,4,2
Nyon,10,3,4,9,2
Aspasia Luck,10,3,4,9,2
Maran Spirit,10,3,4,9,2
Withheld,10,5,4,14,2
Al Derwazah,10,5,4,9,2
GL La Paz,10,3,4,9,2
Oshima Trader,10,3,4,9,2
Saga Fjord,10,2,4,9,2
Ammos,10,3,4,9,2
Genco Lion,10,3,4,9,2
HTK Confidence,10,3,4,9,2
Theodore Jr,10,3,4,9,2
Dalma,10,5,4,9,2
AM Ocean Pride,10,3,4,4,2
AAL Merkur,10,2,4,8,6
Nordmaas,10,4,4,8,6
Regency,10,5,4,11,3
White Peach,10,5,4,11,3
Withheld,10,4,4,1,3
Hai Phong,10,4,4,1,3
Gas Courage,10,5,4,1,3
Era Star,10,5,4,1,3
Viva Cosmos,10,3,4,1,3
Chattogram,10,4,4,1,3
Largo Eden,10,5,4,1,3
Withheld,10,3,4,1,3
Ceylon Princess,10,3,4,1,3
Withheld,10,13,4,1,3
Oriole,10,3,4,1,3
Asian Trader,10,4,4,14,4
Lila Norfolk,10,3,4,3,1
Lorenzo Putha 4,10,1,3,3,1
Abdullah,10,3,3,3,1
Alfajr,10,1,3,3,1
Basilisk,10,2,4,3,1
Hana I,10,5,4,14,1
Bourbon Explorer,10,13,4,14,1
Rathbone,10,5,4,14,1
Withheld,10,13,4,14,1
Aurora Diamond,10,13,4,14,1
Severn ,10,5,4,14,1
Lodur,10,4,4,14,1
Fidan,10,5,3,14,1
Withheld,10,2,4,14,1
Sarnia,10,4,4,14,1
Corinthian,10,5,4,14,1
Bourbon Liberty,10,12,4,14,1
Pearl Island,10,3,4,14,1
Nvios Destiny,10,4,4,6,1
Withheld,10,1,4,13,1
Irene,10,3,4,14,1
Bourbon Liberty,10,13,4,14,1
Helga Oldendorff,10,3,1,4,2
Solar Roma,10,5,1,4,2
Al Amerat,10,5,1,4,2
Withheld,10,5,1,9,2
AOM Bianca,10,3,1,9,2
Dokos,10,3,1,9,2
PAC Alnath,10,2,1,4,2
Sandpiper Pacific,10,5,1,4,2
Withheld,10,5,1,1,3
ASL Leban,10,2,1,1,3
Belatlantic,10,3,1,1,3
Happy Avocet,10,5,1,14,4
Adria,10,1,1,3,1
Waimea,10,3,2,3,1
Chrystal Arctic,10,5,2,2,1
Withheld,10,4,2,14,1
